,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
874,iGo,Tour,1499.0,66.0,250.0,20.0,40.0,360.0
875,EasyMotion,EvoEcoLite,2399.0,54.0,350.0,20.0,45.0,316.8
876,ProdecoTech,PhantomX2,1699.0,58.0,500.0,25.0,40.0,460.8
877,ProdecoTech,Scorpion27,3999.0,38.0,250.0,20.0,35.0,306.9
878,Smart,Ebike,3299.0,57.5,350.0,40.0,60.0,422.4
879,EasyMotion,NeoProx,1799.0,45.0,350.0,20.0,40.0,316.8
880,Vanmoof,Electrified3,2998.0,41.8,250.0,18.6,37.2,208.8
881,BigCat,LongBeachCruiser,1495.0,68.0,350.0,10.0,20.0,288.0
882,BigCat,HamptonFoldingBike,1195.0,56.0,350.0,10.0,20.0,360.0
883,BigCat,Phantom,1495.0,68.0,350.0,10.0,20.0,288.0
884,BigCat,NYCCargoBike,1299.0,72.0,350.0,10.0,20.0,288.0
885,Specialized,TurboS,6000.0,50.0,250.0,30.0,40.0,504.0
886,Haibike,"XduroFSRX27.5""",4900.0,48.0,350.0,35.0,65.0,396.0
887,Haibike,"XduroRX29""",4000.0,45.0,350.0,35.0,65.0,396.0
888,Haibike,XDUROTrekkingRX,4000.0,51.0,350.0,35.0,65.0,396.0
889,Riide,ElectricBike,1799.0,35.0,350.0,20.0,30.0,313.2
890,,"<spanclass=""multi-property"">2014",,62.0,750.0,15.0,20.0,460.8
891,OrganicTransit,ELF,5500.0,150.0,600.0,15.0,20.0,532.8
